a              a.wav
con            con_.wav
di             di.wav
per            per.wav

uno            uno.wav
due            due.wav
tre            tre.wav
quattro        quattro.wav
cinque         cinque.wav
sei            sei.wav
sette          sette.wav
otto           otto.wav
nove           nove.wav
dieci          dieci.wav

il             il.wav
lo             lo.wav
la             la.wav
un             un.wav

minuti         minuti.wav
ore            ore.wav
ritardo        ritardo.wav
treno          treno.wav

arrivera`      arrivera`.wav
viaggia        viaggia.wav

milano         milano.wav
udine          udine.wav
venezia        venezia.wav
